epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
147,33737.1,0.57117,0.53442,0.20707,0.87719,0.83541,0.89333,0.60552,0.38126,0.45085,0.19038,0.005182,0.005182,0.005182
148,33950.1,0.53727,0.54001,0.20234,0.89525,0.82159,0.88978,0.60099,0.38521,0.4519,0.19111,0.005149,0.005149,0.005149
149,34201.8,0.56453,0.53068,0.20985,0.8854,0.82029,0.89163,0.60354,0.38097,0.45355,0.18817,0.005116,0.005116,0.005116
150,34427.2,0.52603,0.5339,0.20371,0.88449,0.82865,0.88981,0.60471,0.38483,0.44305,0.19368,0.005083,0.005083,0.005083
151,34614.8,0.5018,0.53308,0.19746,0.89781,0.81921,0.89387,0.60912,0.37968,0.44939,0.18956,0.00505,0.00505,0.00505
152,34790.1,0.49542,0.53818,0.19427,0.90102,0.82598,0.89831,0.6189,0.3707,0.44609,0.18281,0.005017,0.005017,0.005017
153,34977.1,0.58807,0.53231,0.21254,0.89317,0.81181,0.88996,0.60141,0.38437,0.45571,0.18924,0.004984,0.004984,0.004984
154,35164.9,0.49428,0.54015,0.18958,0.88902,0.81574,0.88866,0.61356,0.37601,0.45676,0.19154,0.004951,0.004951,0.004951
155,35322.9,0.47308,0.52151,0.17938,0.88986,0.83977,0.89926,0.62654,0.36296,0.44295,0.185,0.004918,0.004918,0.004918
156,35531.1,0.46924,0.51692,0.17788,0.91075,0.84129,0.90598,0.63161,0.36011,0.43526,0.18339,0.004885,0.004885,0.004885
157,35703.5,0.46039,0.51541,0.18231,0.90708,0.84361,0.90865,0.63279,0.3581,0.43018,0.18229,0.004852,0.004852,0.004852
158,35892.1,0.45548,0.52186,0.17466,0.91919,0.84504,0.9113,0.63287,0.35779,0.43025,0.18148,0.004819,0.004819,0.004819
159,36075.7,0.47065,0.51921,0.18002,0.90988,0.85691,0.91443,0.63852,0.35288,0.42952,0.17823,0.004786,0.004786,0.004786
160,36293.3,0.49892,0.51138,0.18438,0.90997,0.85821,0.9169,0.63782,0.36044,0.41903,0.1809,0.004753,0.004753,0.004753
161,36504.9,0.5548,0.53696,0.2003,0.90879,0.84498,0.90848,0.61992,0.37438,0.42617,0.18236,0.00472,0.00472,0.00472
162,36745.5,0.55506,0.52187,0.19604,0.88765,0.8467,0.89906,0.61142,0.38764,0.4277,0.18385,0.004687,0.004687,0.004687
163,37003.9,0.5769,0.5222,0.21007,0.90623,0.84323,0.90664,0.62062,0.37587,0.43895,0.18811,0.004654,0.004654,0.004654
164,37270.8,0.72779,0.50446,0.23606,0.88001,0.84451,0.90339,0.61598,0.37853,0.43433,0.19017,0.004621,0.004621,0.004621
165,37471.7,0.49296,0.52026,0.18744,0.91008,0.8297,0.90851,0.62816,0.36602,0.42869,0.18501,0.004588,0.004588,0.004588
166,37706.2,0.45403,0.50704,0.17568,0.90367,0.84191,0.91171,0.63897,0.35568,0.42687,0.18028,0.004555,0.004555,0.004555
167,37907.4,0.47284,0.51404,0.18238,0.91664,0.84453,0.91498,0.64337,0.35093,0.42249,0.17417,0.004522,0.004522,0.004522
168,38134.6,0.58222,0.5099,0.20377,0.90575,0.86153,0.91236,0.63221,0.36296,0.42283,0.17534,0.004489,0.004489,0.004489
169,38367.5,0.51321,0.51977,0.18501,0.90234,0.85819,0.9125,0.63067,0.3669,0.41888,0.17907,0.004456,0.004456,0.004456
170,38599.5,0.45515,0.50276,0.16845,0.91945,0.85193,0.91926,0.64611,0.35172,0.41715,0.17521,0.004423,0.004423,0.004423
171,38806.5,0.44895,0.50457,0.17236,0.92906,0.85534,0.92312,0.65111,0.34627,0.41747,0.1728,0.00439,0.00439,0.00439
172,38986,0.45966,0.50518,0.17546,0.91829,0.86921,0.92572,0.65731,0.34295,0.41246,0.1706,0.004357,0.004357,0.004357
